First Name,Last Name,Title,Company Name for Emails,Industry,Keywords,Person Linkedin Url,Website,Company Linkedin Url,City,State,Country
Cullen,Thompson,"Co-Founder, Chief Investment Officer",Bienville,investment management,,http://www.linkedin.com/in/cullen-thompson-580884ba,http://www.bienvillecapital.com,http://www.linkedin.com/company/bienville-capital-management,New York,New York,United States
Daiva,Miskiniene,Finance Business Partner,DOJUS group,machinery,"agricultural,forestry,specialized machinery,spare parts,turf,machinery rental",http://www.linkedin.com/in/daiva-miskiniene-802611156,http://www.dojusgroup.lt,http://www.linkedin.com/company/dojusgroup,,,Lithuania
Jose,Alba,President & CEO,INCIPIO Ventures,venture capital & private equity,,http://www.linkedin.com/in/jose-luis-%e2%80%9cjoeda%c2%ae%ef%b8%8f%e2%80%9d-de-alba-3a48986,http://www.incipioventures.com,http://www.linkedin.com/company/incipio-ventures,,,
Lev,Leviev,Founder,LVL1 Group,investment management,,http://www.linkedin.com/in/lev-leviev-a3a2753a,http://www.lvl1group.com,http://www.linkedin.com/company/lvl1-group,,,Israel
Nick,Laursen,Managing Partner,Laursen van Swieten,investment management,"expansion,expansion management,expansion investment,execution",http://www.linkedin.com/in/nick-chinainvestments,http://www.lvspartners.com,http://www.linkedin.com/company/lvs-partners,Shanghai,Shanghai,China
Konstantine,Drakonakis,Director / Venture Partner,Pritzker Vlock Family Office,venture capital & private equity,,http://www.linkedin.com/in/kdrakonakis,http://www.pvfamilyoffice.com,http://www.linkedin.com/company/pritzker-vlock-family-office,New York,New York,United States
Alan,Speer,Chief Financial Officer,Bienville,investment management,,http://www.linkedin.com/in/alan-speer-1a746415,http://www.bienvillecapital.com,http://www.linkedin.com/company/bienville-capital-management,New York,New York,United States
Gerard,Swieten,Managing Partner,Laursen van Swieten,investment management,"expansion,expansion management,expansion investment,execution",http://www.linkedin.com/in/gerard-van-swieten-5366805,http://www.lvspartners.com,http://www.linkedin.com/company/lvs-partners,Shanghai,Shanghai,China
Matthew,Greathouse,"Director, Investments",KBW Ventures,venture capital & private equity,,http://www.linkedin.com/in/matthew-greathouse-72a64b102,http://www.kbw-ventures.com,http://www.linkedin.com/company/kbw-ventures,Oakland,California,United States
Oleksandr,Yatsenko,Managing Partner,BRISE Capital,internet,,http://www.linkedin.com/in/oleksandryatsenko,http://www.brise.capital,http://www.linkedin.com/company/brise-capital,,,Ukraine
Spencer,Gordon-Sand,Director Of Operations,Lofty Ventures,venture capital & private equity,"chicago tech,angel investing,community,startups,earlystage ventures,mentoring,advising",http://www.linkedin.com/in/spencer-gordon-sand-ba0b8a120,http://www.loftyventures.com,http://www.linkedin.com/company/loftyventures,New York,New York,United States
Xiaobin,Gu,Founding Partner,ZEMU Venture Capital,venture capital & private equity,"partnerships,biotech,ai investment,tech investment,iot investment,joint venture,venture capital,finance",http://www.linkedin.com/in/xiaobin-gu-706a1919a,http://www.zemuvc.co,http://www.linkedin.com/company/zemu-venture-capital,Shanghai,Shanghai,China
Kashif,Shakoor,Partner,Walled City,investment management,,http://www.linkedin.com/in/kashif-shakoor-99a6868,http://www.walledcity.co,http://www.linkedin.com/company/walledcityco,,,Pakistan
Dmitry,Friedman,Chief Financial Officer,LVL1 Group,investment management,,http://www.linkedin.com/in/dmitryfriedman,http://www.lvl1group.com,http://www.linkedin.com/company/lvl1-group,,,Russia
Kevin,Kurian,Founding Partner,Kane & Rao Group,consumer services,"web development,consulting services,advice,consultancy,strategy,venture capital,startups,education",http://www.linkedin.com/in/kevinkurian,http://www.kanerao.com,http://www.linkedin.com/company/kane-&-rao-group,Amsterdam,North Holland,Netherlands
Justina,Dailidaite-Vildziuniene,Chief Marketing Officer,DOJUS group,machinery,"agricultural,forestry,specialized machinery,spare parts,turf,machinery rental",http://www.linkedin.com/in/justina-dailidait%c4%97-vild%c5%bei%c5%abnien%c4%97-b1403a72,http://www.dojusgroup.lt,http://www.linkedin.com/company/dojusgroup,Vilnius,Vilnius County,Lithuania
Spencer,Farrar,Partner - Blockchain Fund,Bienville,investment management,,http://www.linkedin.com/in/spencer-farrar,http://www.bienvillecapital.com,http://www.linkedin.com/company/bienville-capital-management,Los Angeles,California,United States
San,Yetlee,Creative Director,NEON Adventures,internet,"digital media,technology,digital marketing,consumer internet,internet,information technology,education,property,philanthropy",http://www.linkedin.com/in/sanyetlee,http://www.neon.com,http://www.linkedin.com/company/neon-adventures,London,England,United Kingdom
Massimo,Ruffoni,"CFO & Chief Analyst Officer , Advisory Board member",Rancilio Cube,investment management,,http://www.linkedin.com/in/massimo-ruffoni-mba-6726a73,http://www.ranciliocube.com,http://www.linkedin.com/company/rancilio-cube-srl,Zürich,Zurich,Switzerland
Silvia,Rancilio,Co-founder e Managing Director,Rancilio Cube,investment management,,http://www.linkedin.com/in/silvia-maria-rancilio-49149891,http://www.ranciliocube.com,http://www.linkedin.com/company/rancilio-cube-srl,Milan,Lombardy,Italy
Vincent,Bailey,Marketing Director,New Age Ventures,venture capital & private equity,,http://www.linkedin.com/in/vincent-bailey-79a69967,http://www.newageventures.net,http://www.linkedin.com/company/new-age-ventures,Charlotte,North Carolina,United States
Rupesh,Kumar,Founder and Director,INCIPIO Ventures,venture capital & private equity,,http://www.linkedin.com/in/rupesh-kumar-901966b,http://www.incipioventures.com,http://www.linkedin.com/company/incipio-ventures,Bengaluru,Karnataka,India
Joshua,Stevens,Business Owner,Zenith Ventures,venture capital & private equity,,http://www.linkedin.com/in/joshua-stevens-3519a4187,http://www.bollinger.xyz,http://www.linkedin.com/company/zenith-ventures,,California,United States
Mariano,Bustamante,Managing Director,Winnipeg SAC,financial services,,http://www.linkedin.com/in/mariano-bustamante-bb30584,http://www.winnipegcapital.com,http://www.linkedin.com/company/winnipegcapital,,,Peru
Spencer,Krug,Partner,RiverPark Ventures,venture capital & private equity,,http://www.linkedin.com/in/spencerkrug,http://www.riverparkvc.com,http://www.linkedin.com/company/riverpark-ventures,New York,New York,United States
Francisco,Widjojo,Managing Partner,Arkblu Capital,venture capital & private equity,,http://www.linkedin.com/in/franciscowidjojo,http://www.arkblucap.com,http://www.linkedin.com/company/arkblucap,Sydney,New South Wales,Australia
Leon,Hu,Partner,Spark Digital Capital,financial services,,http://www.linkedin.com/in/leon-hu-27a25723,http://www.sparkdigitalcapital.com,http://www.linkedin.com/company/spark-digital-capital,New York,New York,United States
Marko,Helfrich,Director,Trousdale Ventures,venture capital & private equity,,http://www.linkedin.com/in/marko-helfrich-486160133,http://www.trousdalevc.com,http://www.linkedin.com/company/trousdaleventuresllc,Los Angeles,California,United States
Chris,Huey,Managing Director,NEON Adventures,internet,"digital media,technology,digital marketing,consumer internet,internet,information technology,education,property,philanthropy",http://www.linkedin.com/in/cehuey,http://www.neon.com,http://www.linkedin.com/company/neon-adventures,London,England,United Kingdom
Michael,Boyle,Managing Partner,Ecliptic Capital,venture capital & private equity,"operational strategy,operational scaling,founder focused,strategic scaling,operational excellence,vc 20,venture platform",http://www.linkedin.com/in/michaelbboyle,http://www.ecliptic.capital,http://www.linkedin.com/company/eclipticcapital,Dripping Springs,Texas,United States
Emre,Camlibel,Chairman and Co-founder,Re-Pie Asset Management Company,financial services,,http://www.linkedin.com/in/dr-m-emre-camlibel-aa3009136,http://www.re-pie.com,http://www.linkedin.com/company/re-pie-asset-management,İstanbul,,Turkey
Artem,Sukhina,Managing Partner,BRISE Capital,internet,,http://www.linkedin.com/in/artem-sukhina,http://www.brise.capital,http://www.linkedin.com/company/brise-capital,,,Ukraine
Aurelie,Bessiere,Venture Partner,Otium Capital,venture capital & private equity,"seed stage,early stage,growth equity,internet,software,mobile,technology,b2c,b2b,venture capital,tech startups,consumer startups,capdev,lbo,buyandbuild",http://www.linkedin.com/in/aurelie-pasquet-bessiere-7a32041,http://www.otiumcapital.com,http://www.linkedin.com/company/otium-capital,New York,New York,United States
Heidi,Abraham,Managing Director,REIMANN INVESTORS,venture capital & private equity,,http://www.linkedin.com/in/heidi-abraham,http://www.reimann-investors.com,http://www.linkedin.com/company/reimann-investors,,,Germany
Richard,Shen,Managing Director,Otium Capital,venture capital & private equity,"seed stage,early stage,growth equity,internet,software,mobile,technology,b2c,b2b,venture capital,tech startups,consumer startups,capdev,lbo,buyandbuild",http://www.linkedin.com/in/richard-shen-7b90835a,http://www.otiumcapital.com,http://www.linkedin.com/company/otium-capital,Hong Kong,,Hong Kong
Piotr,Kulesza,"General Partner, Founder",RTAventures VC,venture capital & private equity,"healthcare,health care information technology,personal health,mobile health,health care,venture capital,growth financing,angel investing,investment banking",http://www.linkedin.com/in/piotrkulesza,http://www.rtaventures.com,http://www.linkedin.com/company/rtaventures,Warsaw,Masovian Voivodeship,Poland
Kevin,Eekeren,Founder and CEO,Fulcrum Investing,venture capital & private equity,angel funding & seed investments,http://www.linkedin.com/in/kevin-van-eekeren-40a12a53,http://www.fulcruminvesting.com,http://www.linkedin.com/company/fulcrum-investing,Manhattan,Illinois,United States
Abigail,Penzell,General Counsel and Chief Compliance Officer,Bienville,investment management,,http://www.linkedin.com/in/abigail-penzell-353420,http://www.bienvillecapital.com,http://www.linkedin.com/company/bienville-capital-management,New York,New York,United States
Kim,Diocampo,Co-Founder,10K Ventures,venture capital & private equity,,http://www.linkedin.com/in/kimdiocampo,http://www.10kventures.co,http://www.linkedin.com/company/10kventures,Berlin,Berlin,Germany
Louis-Antoine,Roullier,Operating Partner,Otium Capital,venture capital & private equity,"seed stage,early stage,growth equity,internet,software,mobile,technology,b2c,b2b,venture capital,tech startups,consumer startups,capdev,lbo,buyandbuild",http://www.linkedin.com/in/louisantoineroullier,http://www.otiumcapital.com,http://www.linkedin.com/company/otium-capital,Fondettes,Centre,France
Scott,Wall,Chief Financial Officer,LiFE Ventures,venture capital & private equity,"series a,preseed,seed,venture capital,investments,fundraising,built world,real estate,proptech,property,technology,propcos,entrepreneurship",http://www.linkedin.com/in/scott-wall-5a384a100,http://www.lifeventures.tech,http://www.linkedin.com/company/lifeventures,Poway,California,United States
Shailendra,Bhadauria,Business Owner,MPGI,venture capital & private equity,,http://www.linkedin.com/in/shailendra-bhadauria-00974019,http://www.mpgi.co,http://www.linkedin.com/company/mpgi,,Uttar Pradesh,India
Boon,Lee,"Partner, Tech.",NEXEA,venture capital & private equity,"venture capital,investment management,south east asia,angels,finance,startup fund malaysia southeast asia,angel investor network malaysia southeast asia,malaysia venture capital,seed funding malaysia,nexea angels,angel investors malaysia,malaysia startup grants,malaysia angel investor,crowdfunding malaysia,business angels malaysia,accelerator malaysia",http://www.linkedin.com/in/boon-keong-lee-danny-966935169,http://www.nexea.co,http://www.linkedin.com/company/nexeaventures,Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia
Julio,Ponce,Partner,Winnipeg SAC,financial services,,http://www.linkedin.com/in/julio-balestrini-ponce-80713a48,http://www.winnipegcapital.com,http://www.linkedin.com/company/winnipegcapital,,,Peru
Robert,Walsh,Managing Partner,QVentures,venture capital & private equity,"venture capital,angel investments,funding platform,super angels,angel network,series a funding,angel crowdfunding,sophisticated investors,investment club,investor relations,family offices,uhnwi,entrepreneurs,startups",http://www.linkedin.com/in/robert-walsh-48943b3,http://www.qventures.co,http://www.linkedin.com/company/q-ventures,London,England,United Kingdom
Brandon,Pilot,Partner,Bienville,investment management,,http://www.linkedin.com/in/brandonpilot,http://www.bienvillecapital.com,http://www.linkedin.com/company/bienville-capital-management,New York,New York,United States
Mike,Millard,Operating Partner,Ecliptic Capital,venture capital & private equity,"operational strategy,operational scaling,founder focused,strategic scaling,operational excellence,vc 20,venture platform",http://www.linkedin.com/in/mikemillard,http://www.ecliptic.capital,http://www.linkedin.com/company/eclipticcapital,Austin,Texas,United States
Judson,Traphagen,Founder and Portfolio Manager,Plough Penny Advisors,investment management,,http://www.linkedin.com/in/judson-traphagen-16b46,http://www.ploughpenny.com,http://www.linkedin.com/company/plough-penny-partners,New York,New York,United States
Jeremy,Schneider,General Partner,Webb Investment Network,venture capital & private equity,investing & advising,http://www.linkedin.com/in/jeremymschneider,http://www.winfunding.com,http://www.linkedin.com/company/webb-investment-network,San Francisco,California,United States
Jeremie,Bordier,CEO,Otium Capital,venture capital & private equity,"seed stage,early stage,growth equity,internet,software,mobile,technology,b2c,b2b,venture capital,tech startups,consumer startups,capdev,lbo,buyandbuild",http://www.linkedin.com/in/ahfeel,http://www.otiumcapital.com,http://www.linkedin.com/company/otium-capital,Paris,Île-de-France,France
Adam,Lipman,Co-Founder and Managing Partner,Ecliptic Capital,venture capital & private equity,"operational strategy,operational scaling,founder focused,strategic scaling,operational excellence,vc 20,venture platform",http://www.linkedin.com/in/adamlipman,http://www.ecliptic.capital,http://www.linkedin.com/company/eclipticcapital,Austin,Texas,United States
Bernd,Wendeln,Managing Director,WENVEST Capital,venture capital & private equity,,http://www.linkedin.com/in/bernd-wendeln-4611a3,http://www.wenvest.capital,http://www.linkedin.com/company/wenvestcapital,München,Bayern,Germany
Bram,Bluestein,Managing Partner,Bluestein Ventures,executive office,,http://www.linkedin.com/in/bram-bluestein-bba9321,http://www.bluesteinventures.com,http://www.linkedin.com/company/bluestein-associates,Chicago,Illinois,United States
Talent,Tsatse,Investment Director,ZEMU Venture Capital,venture capital & private equity,"partnerships,biotech,ai investment,tech investment,iot investment,joint venture,venture capital,finance",http://www.linkedin.com/in/talent-tsatse-94a7491b,http://www.zemuvc.co,http://www.linkedin.com/company/zemu-venture-capital,Shanghai,Shanghai,China
Varun,Srika,Partner,New Age Ventures,venture capital & private equity,,http://www.linkedin.com/in/varun-subbu-srika-4b351823,http://www.newageventures.net,http://www.linkedin.com/company/new-age-ventures,,,
Don,Cameron,CEO,Cameron Ventures,investment management,,http://www.linkedin.com/in/don-cameron-04901797,http://www.cameronvc.com,http://www.linkedin.com/company/cameron-ventures,,Pennsylvania,United States
John,Shelling,Owner,Beacon Capital,financial services,"impact investment,ir,pr,family office consulting,charitable causes,wealth creation & preservation,life sciences,oil,gas,real estate",http://www.linkedin.com/in/john-shelling-33488a13,http://www.beaconcapital.org,http://www.linkedin.com/company/beacon-capital-llc-,Clermont,Florida,United States
Brian,Hatton,Partner - QVentures,QVentures,venture capital & private equity,"venture capital,angel investments,funding platform,super angels,angel network,series a funding,angel crowdfunding,sophisticated investors,investment club,investor relations,family offices,uhnwi,entrepreneurs,startups",http://www.linkedin.com/in/brian-hatton-b36192,http://www.qventures.co,http://www.linkedin.com/company/q-ventures,Bloomington,Indiana,United States
Ted,Holzman,General Partner,Trousdale Ventures,venture capital & private equity,,http://www.linkedin.com/in/tedholzman,http://www.trousdalevc.com,http://www.linkedin.com/company/trousdaleventuresllc,West Hollywood,California,United States
Jurgita,Motiejuniene,Chief HR Officer,DOJUS group,machinery,"agricultural,forestry,specialized machinery,spare parts,turf,machinery rental",http://www.linkedin.com/in/jurgita-motiejuniene-8868266a,http://www.dojusgroup.lt,http://www.linkedin.com/company/dojusgroup,Kaunas,Kaunas County,Lithuania
Jussof,Breshna,Managing Director,REIMANN INVESTORS,venture capital & private equity,,http://www.linkedin.com/in/jussof-breshna-9452701,http://www.reimann-investors.com,http://www.linkedin.com/company/reimann-investors,Munich,Bavaria,Germany
Albert,Iten,CEO,Wille Finance,financial services,"private equity,real estate,digital media,listed assets,vc",http://www.linkedin.com/in/albert-iten-531033116,http://www.willefinance.com,http://www.linkedin.com/company/willefinance,Zürich,Zurich,Switzerland
Hans-Christian,Perle,Managing Director,REIMANN INVESTORS,venture capital & private equity,,http://www.linkedin.com/in/hcperle,http://www.reimann-investors.com,http://www.linkedin.com/company/reimann-investors,Frankfurt,Hesse,Germany
Dominick,Sica,Managing Partner,Sica Ventures,venture capital & private equity,,http://www.linkedin.com/in/dominicksica,http://www.sicaventures.com,http://www.linkedin.com/company/sicaventures,Columbus,Ohio,United States
John,,Managing Partner,New Age Ventures,venture capital & private equity,,http://www.linkedin.com/in/johnsmith2009,http://www.newageventures.net,http://www.linkedin.com/company/new-age-ventures,New York,New York,United States
Volker,Berl,"Founder, Managing Partner & CEO",New Age Ventures,venture capital & private equity,,http://www.linkedin.com/in/volkerberl,http://www.newageventures.net,http://www.linkedin.com/company/new-age-ventures,New York,New York,United States
Josh,Drukarz,Managing Partner,LiFE Ventures,venture capital & private equity,"series a,preseed,seed,venture capital,investments,fundraising,built world,real estate,proptech,property,technology,propcos,entrepreneurship",http://www.linkedin.com/in/josh-drukarz-a2a88253,http://www.lifeventures.tech,http://www.linkedin.com/company/lifeventures,,,United Kingdom
Arik,Ahitov,Chief Investment Officer,Chapman Office,investment management,,http://www.linkedin.com/in/arik-ahitov-3a3231,http://www.chapmanoffice.com,http://www.linkedin.com/company/chapman-office,Los Angeles,California,United States
Ricardo,Salomao,General Partner,Green Rock,investment management,,http://www.linkedin.com/in/ricardo-salomão-407820a8,http://www.greenrockinvest.com.br,http://www.linkedin.com/company/green-rock-family-office,São Paulo,State of São Paulo,Brazil
Andrey,Lisyanskiy,Chief Legal Officer,LVL1 Group,investment management,,http://www.linkedin.com/in/andrey-lisyanskiy-81793a1b,http://www.lvl1group.com,http://www.linkedin.com/company/lvl1-group,Moscow,Moscow,Russia
Lily,Joo,Founding Partner,10K Ventures,venture capital & private equity,,http://www.linkedin.com/in/lilyjoo,http://www.10kventures.co,http://www.linkedin.com/company/10kventures,Berlin,Berlin,Germany
Christian,Wawrzinek,Founder & CEO,Laureus Capital,venture capital & private equity,,http://www.linkedin.com/in/drchristianwawrzinek,http://www.laureuscapital.com,http://www.linkedin.com/company/laureuscapital,Hamburg,Hamburg,Germany
Nina,Simone,CIO,Nima Capital,investment management,,http://www.linkedin.com/in/nina-simone-14499711a,http://www.nimacap.com,http://www.linkedin.com/company/nima-capital-llc,New York,New York,United States
Sebastian,Fernandez,Venture Partner,The Bricks,venture capital & private equity,"investment,seed capital,venture capital,invest,earlystage investor,capital,investor,growth capital,equity financing,entrepreneur,entrepreneurship,startup,startups,ventures,technology",http://www.linkedin.com/in/sebastian-fernandez-000949185,http://www.brickcapital.co,http://www.linkedin.com/company/brickscapital,Fort Lauderdale,Florida,United States
Kelly,Bavis,Board Of Directors,Green Rock,investment management,,http://www.linkedin.com/in/kelly-bavis-159235139,http://www.greenrockinvest.com.br,http://www.linkedin.com/company/green-rock-family-office,Katy,Texas,United States